brand,Price
fujitsu,1328.68
fujitsu,1207.88
fujitsu,682.45
gigabyte,869.64
gigabyte,1087.08
honor,664.28
honor,531.40
hp,617.29
hp,446.84
hp,1860.20
hp,670.32
hp,233.13
hp,954.20
hp,869.75
hp,652.20
hp,1072.70
hp,647.13
hp,1413.24
hp,855.38
hp,1009.77
hp,658.24
hp,513.39
hp,1787.72
hp,845.59
hp,869.64
hp,941.02
hp,700.52
hp,603.99
hp,736.76
hp,809.24
hp,628.04
hp,676.36
hp,625.74
hp,601.28
hp,527.90
hp,421.47
hp,392.48
hp,524.27
hp,375.57
hp,489.23
hp,2444.27
hp,2004.07
hp,736.76
hp,616.07
hp,2004.07
hp,479.58
hp,830.02
hp,736.76
hp,289.91
hp,386.55
hp,1121.02
hp,881.83
hp,1052.05
hp,422.68
hp,779.16
hp,2132.11
hp,1147.48
hp,676.36
hp,882.08
hp,603.88
hp,634.08
hp,485.50
hp,748.84
hp,1081.04
hp,422.68
hp,615.96
hp,567.64
hp,857.56
hp,628.04
hp,700.52
hp,585.28
hp,966.28
hp,773.00
hp,233.13
hp,723.24
hp,688.55
hp,490.56
hp,773.00
hp,301.88
hp,504.34
hp,1092.81
hp,959.96
hp,694.60
hp,659.56
hp,626.96
hp,812.84
hp,1876.01
hp,1352.27
hp,925.32
hp,495.16
hp,1201.60
hp,1364.92
hp,1099.27
hp,433.67
hp,4137.40
hp,642.54
hp,1118.49
hp,3134.75
hp,3539.43
hp,2005.27
hp,2035.48
hp,471.00
hp,350.20
hp,1087.19
hp,905.99
hp,1377.11
hp,628.04
hp,1095.52
hp,484.41
hp,916.75
hp,338.12
hp,736.87
hp,537.44
hp,2210.52
hp,701.49
hp,386.44
hp,1848.12
hp,905.40
hp,1442.35
hp,1207.99
hp,2890.73
hp,1601.80
hp,616.07
hp,1268.83
hp,1229.74
hp,682.40
hp,943.45
hp,444.42
hp,1775.64
hp,1485.96
hp,1691.08
hp,277.72
hp,528.32
hp,524.27
hp,313.96
hp,1531.74
hp,1609.89
hp,398.52
hp,1455.02
hp,2779.12
hp,615.96
hp,289.91
hp,1183.83
hp,1166.81
hp,1062.92
hp,1047.22
hp,1059.30
hp,952.99
hp,1014.60
hp,471.00
hp,615.96
hp,1301.78
hp,942.47
hp,1397.73
hp,1328.68
hp,543.48
hp,579.72
hp,640.12
hp,1401.16
hp,543.48
hp,648.68
hp,471.00
hp,1586.30
hp,786.41
hp,706.67
hp,347.30
hp,340.73
hp,893.80
hp,554.46
hp,827.35
hp,764.83
hp,471.00
hp,785.08
hp,356.24
hp,748.84
hp,912.44
hp,1112.21
hp,845.48
hp,814.19
hp,785.08
hp,398.52
hp,742.80
hp,1425.44
hp,961.45
hp,640.12
hp,484.41
hp,561.60
hp,575.61
hp,567.64
hp,730.72
hp,603.88
hp,792.33
hp,857.68
hp,1328.68
hp,635.29
hp,779.16
hp,628.04
hp,410.59
hp,1449.48
hp,1737.39
hp,452.88
hp,1762.46
hp,1673.21
hp,521.74
hp,700.52
